,species,brood_year,first_release_date,last_release_date,release_location_code,hatchery_location_code,release_stage,release_strategy,release_location_name,hatchery_location_name,tagged_adclipped,tagged_unclipped,untagged_adclipped,untagged_unclipped,untagged_unknown,tag_loss_rate,tag_loss_days,tag_loss_sample_size,species_name,total,prop_untagged_unclipped,age
907,1,2003,2005-04-06,2005-04-07,3F10806  180018 R,,Y,,DUNGENESS R  18.0018,,0,45036,0,2824,0,0.059000000000000004,,,chinook,47860,0.05900543251149185,1
922,3,2004,2005-04-27,2005-04-27,3F10806  180018 R,3F10806  180018 H,S,,DUNGENESS R  18.0018,DUNGENESS HATCHERY,0,0,9580,245,0,,,,steelhead,9825,0.024936386768447838,0
894,2,2003,2005-05-03,2005-05-05,3F10806  180018 R,3F10806  180018 H,Y,,DUNGENESS R  18.0018,DUNGENESS HATCHERY,0,0,503482,8968,0,,,,coho,512450,0.017500243926236708,1
1062,1,2004,2006-04-05,2006-04-05,3F10806  180018 R,,Y,,DUNGENESS R  18.0018,,0,36926,0,74,0,0.002,,,chinook,37000,0.002,1
908,1,2004,2006-04-05,2006-04-05,3F10806  180028 R,,Y,,HURD CR      18.0028,,0,48784,0,147,0,0.003,,,chinook,48931,0.0030042304469559177,1
870,2,2004,2006-05-01,2006-05-01,3F10806  180018 R,3F10806  180018 H,Y,,DUNGENESS R  18.0018,DUNGENESS HATCHERY,0,0,11591,309,0,,,,coho,11900,0.02596638655462185,1
670,2,2004,2006-06-01,2006-06-01,3F10806  180018 R,3F10806  180018 H,Y,,DUNGENESS R  18.0018,DUNGENESS HATCHERY,0,0,41103,1097,0,,,,coho,42200,0.02599526066350711,1
150,3,2005,2006-06-01,2006-06-01,3F10806  180018 R,3F10806  180018 H,S,,DUNGENESS R  18.0018,DUNGENESS HATCHERY,0,0,10682,218,0,,,,steelhead,10900,0.02,0
934,2,2004,2006-06-01,2006-06-01,3F10806  180018 R,3F10806  180018 H,Y,,DUNGENESS R  18.0018,DUNGENESS HATCHERY,0,0,395054,10546,0,,,,coho,405600,0.026000986193293885,1
636,2,2004,2006-06-01,2006-06-01,3F10806  180018 R,3F10806  180018 H,Y,,DUNGENESS R  18.0018,DUNGENESS HATCHERY,0,0,39252,1048,0,,,,coho,40300,0.02600496277915633,1
54,1,2005,2006-06-03,2006-06-03,3F10806  180048 R,,,,GRAY WOLF R  18.0048,,0,53410,0,1090,0,0.02,,,chinook,54500,0.02,0
983,1,2005,2006-06-21,2006-06-21,3F10806  180048 R,,,,GRAY WOLF R  18.0048,,0,52704,0,1296,0,0.024,,,chinook,54000,0.024,0
100,1,2005,2006-11-15,2006-11-15,3F10806  180018 R,,,,DUNGENESS R  18.0018,,0,0,0,3800,0,,,,chinook,3800,1.0,0
810,1,2005,2007-04-02,2007-04-02,3F10806  180018 R,3F10806  180018 H,Y,,DUNGENESS R  18.0018,DUNGENESS HATCHERY,0,63119,0,381,0,0.006,,,chinook,63500,0.006,1
910,1,2005,2007-04-03,2007-04-03,3F10806  180028 R,3F10806  180028 H,Y,,HURD CR      18.0028,HURD CR HATCHERY,0,53331,0,1033,0,0.019,,,chinook,54364,0.019001545140166286,1
423,1,2006,2007-05-18,2007-05-20,3F10806  180048 R,3F10806  180048 H,,,GRAY WOLF R  18.0048,GRAY WOLF R ACCL PD,0,50235,0,765,0,0.015,,,chinook,51000,0.015,0
1049,2,2005,2007-06-01,2007-06-01,3F10806  180018 R,3F10806  180018 H,Y,,DUNGENESS R  18.0018,DUNGENESS HATCHERY,9372,0,410877,5751,0,,,,coho,426000,0.0135,1
899,2,2005,2007-06-01,2007-06-01,3F10806  180018 R,3F10806  180018 H,Y,,DUNGENESS R  18.0018,DUNGENESS HATCHERY,9466,19,26577,438,0,0.002,,,coho,36500,0.012,1
1057,2,2005,2007-06-01,2007-06-01,3F10806  180018 R,3F10806  180018 H,Y,,DUNGENESS R  18.0018,DUNGENESS HATCHERY,10025,0,28685,790,0,,,,coho,39500,0.02,1
941,3,2006,2007-06-01,2007-06-01,3F10806  180018 R,3F10806  180018 H,S,,DUNGENESS R  18.0018,DUNGENESS HATCHERY,0,0,5603,97,0,,,,steelhead,5700,0.017017543859649122,0
