"","start_datetime","end_datetime","In","midpoint","StartDate","EndDate","chum0_mixed_num","steelheadsmolt_wild_num","steelheadsmolt_hatchery_num","coho1_wild_num","coho1_hatchery_num","coho0_wild_num","chinook1_hatchery_num","chinook0_wild_num","chinook0_hatchery_num"
"1",2017-01-18 11:00:00,2017-01-18 15:00:00,4,2017-01-18 13:00:00,2017-01-18,2017-01-18,0,0,0,1,0,0,0,29,0
"2",2017-01-19 09:00:00,2017-01-19 15:00:00,6,2017-01-19 12:00:00,2017-01-19,2017-01-19,0,0,0,0,0,0,0,23,0
"3",2017-01-19 15:00:00,2017-01-20 08:30:00,17.5,2017-01-19 23:45:00,2017-01-19,2017-01-20,0,0,0,13,0,0,0,35,0
"4",2017-01-20 08:30:00,2017-01-20 15:00:00,6.5,2017-01-20 11:45:00,2017-01-20,2017-01-20,0,0,0,0,0,0,0,24,0
"5",2017-01-20 15:00:00,2017-01-21 08:30:00,17.5,2017-01-20 23:45:00,2017-01-20,2017-01-21,0,5,0,13,0,0,0,43,0
"6",2017-01-21 08:30:00,2017-01-21 15:00:00,6.5,2017-01-21 11:45:00,2017-01-21,2017-01-21,0,0,0,0,0,0,0,20,0
"7",2017-01-21 15:00:00,2017-01-22 08:30:00,17.5,2017-01-21 23:45:00,2017-01-21,2017-01-22,0,1,0,8,0,0,0,31,0
"8",2017-01-22 08:30:00,2017-01-22 16:00:00,7.5,2017-01-22 12:15:00,2017-01-22,2017-01-22,0,0,0,0,0,0,0,23,0
"9",2017-01-22 16:00:00,2017-01-23 08:00:00,16,2017-01-23 00:00:00,2017-01-22,2017-01-23,0,2,0,1,0,0,0,41,0
"10",2017-01-23 08:00:00,2017-01-23 16:00:00,8,2017-01-23 12:00:00,2017-01-23,2017-01-23,0,0,0,0,0,0,0,30,0
"11",2017-01-23 16:00:00,2017-01-24 08:00:00,16,2017-01-24 00:00:00,2017-01-23,2017-01-24,0,0,0,3,0,0,0,50,0
"12",2017-01-24 08:00:00,2017-01-24 16:00:00,8,2017-01-24 12:00:00,2017-01-24,2017-01-24,0,0,0,0,0,0,0,20,0
"13",2017-01-24 16:00:00,2017-01-25 08:00:00,16,2017-01-25 00:00:00,2017-01-24,2017-01-25,0,0,0,4,0,0,0,23,0
"14",2017-01-25 08:00:00,2017-01-25 16:00:00,8,2017-01-25 12:00:00,2017-01-25,2017-01-25,0,0,0,0,0,0,0,17,0
"15",2017-01-25 16:00:00,2017-01-26 08:00:00,16,2017-01-26 00:00:00,2017-01-25,2017-01-26,0,0,0,5,0,1,0,44,0
"16",2017-01-26 08:00:00,2017-01-26 16:00:00,8,2017-01-26 12:00:00,2017-01-26,2017-01-26,0,0,0,1,0,0,0,22,0
"17",2017-01-26 16:00:00,2017-01-27 08:00:00,16,2017-01-27 00:00:00,2017-01-26,2017-01-27,0,0,0,3,0,0,0,95,0
"18",2017-01-27 08:00:00,2017-01-27 16:00:00,8,2017-01-27 12:00:00,2017-01-27,2017-01-27,0,0,0,0,0,0,0,51,0
"19",2017-01-27 16:00:00,2017-01-28 08:00:00,16,2017-01-28 00:00:00,2017-01-27,2017-01-28,0,0,0,0,0,0,0,68,0
"20",2017-01-28 08:00:00,2017-01-28 16:00:00,8,2017-01-28 12:00:00,2017-01-28,2017-01-28,0,0,0,0,0,0,0,11,0
"21",2017-01-28 16:00:00,2017-01-29 08:00:00,16,2017-01-29 00:00:00,2017-01-28,2017-01-29,0,0,0,0,0,0,0,58,0
"22",2017-01-29 08:00:00,2017-01-29 16:00:00,8,2017-01-29 12:00:00,2017-01-29,2017-01-29,0,0,0,0,0,0,0,28,0
"23",2017-01-29 16:00:00,2017-01-30 08:00:00,16,2017-01-30 00:00:00,2017-01-29,2017-01-30,0,0,0,0,0,0,0,102,0
"24",2017-01-30 08:00:00,2017-01-30 16:00:00,8,2017-01-30 12:00:00,2017-01-30,2017-01-30,0,0,0,0,0,0,0,28,0
"25",2017-01-30 16:00:00,2017-01-31 08:00:00,16,2017-01-31 00:00:00,2017-01-30,2017-01-31,0,0,0,1,0,0,0,71,0
"26",2017-01-31 08:00:00,2017-01-31 16:00:00,8,2017-01-31 12:00:00,2017-01-31,2017-01-31,0,0,0,0,0,0,0,26,0
"27",2017-01-31 16:00:00,2017-02-01 08:00:00,16,2017-02-01 00:00:00,2017-01-31,2017-02-01,0,0,0,1,0,0,0,337,0
"28",2017-02-01 08:00:00,2017-02-01 16:30:00,8.5,2017-02-01 12:15:00,2017-02-01,2017-02-01,0,0,0,0,0,0,0,54,0
"29",2017-02-01 16:30:00,2017-02-02 08:00:00,15.5,2017-02-02 00:15:00,2017-02-01,2017-02-02,0,0,0,1,0,0,0,408,0
"30",2017-02-02 08:00:00,2017-02-02 16:30:00,8.5,2017-02-02 12:15:00,2017-02-02,2017-02-02,0,0,0,0,0,0,0,222,0
"31",2017-02-02 16:30:00,2017-02-03 08:00:00,15.5,2017-02-03 00:15:00,2017-02-02,2017-02-03,0,0,0,0,0,0,0,292,0
"32",2017-02-03 08:00:00,2017-02-03 16:30:00,8.5,2017-02-03 12:15:00,2017-02-03,2017-02-03,0,0,0,0,0,0,0,121,0
"33",2017-02-03 16:30:00,2017-02-04 08:00:00,15.5,2017-02-04 00:15:00,2017-02-03,2017-02-04,0,0,0,3,0,0,0,194,0
"34",2017-02-04 08:00:00,2017-02-04 16:00:00,8,2017-02-04 12:00:00,2017-02-04,2017-02-04,0,0,0,0,0,0,0,206,0
"35",2017-02-04 16:00:00,2017-02-05 08:00:00,16,2017-02-05 00:00:00,2017-02-04,2017-02-05,1,0,0,2,0,1,0,1037,0
"36",2017-02-05 08:00:00,2017-02-05 16:30:00,8.5,2017-02-05 12:15:00,2017-02-05,2017-02-05,0,0,0,0,0,0,0,160,0
"37",2017-02-06 09:00:00,2017-02-06 16:00:00,7,2017-02-06 12:30:00,2017-02-06,2017-02-06,0,0,0,0,0,0,0,68,0
"38",2017-02-06 16:00:00,2017-02-07 08:00:00,16,2017-02-07 00:00:00,2017-02-06,2017-02-07,0,1,0,0,0,0,0,138,0
"39",2017-02-07 08:00:00,2017-02-07 16:00:00,8,2017-02-07 12:00:00,2017-02-07,2017-02-07,0,0,0,0,0,0,0,60,0
"40",2017-02-08 08:00:00,2017-02-08 16:00:00,8,2017-02-08 12:00:00,2017-02-08,2017-02-08,0,0,0,0,0,0,0,48,0
"41",2017-02-08 16:00:00,2017-02-09 08:00:00,16,2017-02-09 00:00:00,2017-02-08,2017-02-09,3,0,0,0,0,1,0,533,0
"42",2017-02-11 15:00:00,2017-02-12 08:00:00,17,2017-02-11 23:30:00,2017-02-11,2017-02-12,1,0,0,1,0,0,0,391,0
"43",2017-02-12 08:00:00,2017-02-12 16:30:00,8.5,2017-02-12 12:15:00,2017-02-12,2017-02-12,3,0,0,0,0,0,0,141,0
"44",2017-02-12 16:30:00,2017-02-13 08:00:00,15.5,2017-02-13 00:15:00,2017-02-12,2017-02-13,7,1,0,1,1,1,0,236,0
"45",2017-02-13 08:00:00,2017-02-13 16:30:00,8.5,2017-02-13 12:15:00,2017-02-13,2017-02-13,1,0,0,0,0,0,0,109,0
"46",2017-02-13 16:30:00,2017-02-14 08:00:00,15.5,2017-02-14 00:15:00,2017-02-13,2017-02-14,1,1,0,1,0,0,0,311,0
