"","start_datetime","end_datetime","In","midpoint","StartDate","EndDate","pink0_wild","chum0_mixed_num","steelheadsmolt_wild_num","steelheadsmolt_hatchery_num","coho1_mixed_num","coho0_wild_num","chinook1_wild_num","chinook1_hatchery_num","chinook0_wild_num","chinook0_hatchery_num"
"1",2020-01-16 14:00:00,2020-01-17 09:00:00,19,2020-01-16 23:30:00,2020-01-16,2020-01-17,1,0,0,0,7,0,0,0,2,0
"2",2020-01-17 16:30:00,2020-01-18 08:00:00,15.5,2020-01-18 00:15:00,2020-01-17,2020-01-18,2,0,0,0,5,0,1,0,1,0
"3",2020-01-18 08:00:00,2020-01-18 16:45:00,8.75,2020-01-18 12:22:30,2020-01-18,2020-01-18,0,0,0,0,0,0,0,0,3,0
"4",2020-01-18 16:45:00,2020-01-19 08:00:00,15.25,2020-01-19 00:22:30,2020-01-18,2020-01-19,0,0,0,0,3,0,0,0,2,0
"5",2020-01-19 16:30:00,2020-01-20 08:00:00,15.5,2020-01-20 00:15:00,2020-01-19,2020-01-20,2,0,0,0,2,0,0,0,4,0
"6",2020-01-20 08:00:00,2020-01-20 16:40:00,8.66666666666667,2020-01-20 12:20:00,2020-01-20,2020-01-20,0,0,0,0,0,0,0,0,7,0
"7",2020-01-20 16:40:00,2020-01-21 08:00:00,15.3333333333333,2020-01-21 00:20:00,2020-01-20,2020-01-21,2,0,0,0,4,0,0,0,0,0
"8",2020-01-21 08:00:00,2020-01-21 18:30:00,10.5,2020-01-21 13:15:00,2020-01-21,2020-01-21,1,0,0,0,0,0,0,0,2,0
"9",2020-01-21 18:30:00,2020-01-22 08:00:00,13.5,2020-01-22 01:15:00,2020-01-21,2020-01-22,6,0,0,0,3,0,0,0,4,0
"10",2020-01-22 08:00:00,2020-01-22 14:30:00,6.5,2020-01-22 11:15:00,2020-01-22,2020-01-22,1,0,0,0,0,0,0,0,0,0
"11",2020-01-26 11:30:00,2020-01-27 08:00:00,20.5,2020-01-26 21:45:00,2020-01-26,2020-01-27,10,0,1,0,3,0,0,0,4,0
"12",2020-01-27 08:00:00,2020-01-27 16:30:00,8.5,2020-01-27 12:15:00,2020-01-27,2020-01-27,0,0,0,0,0,0,0,0,1,0
"13",2020-01-27 16:30:00,2020-01-28 08:00:00,15.5,2020-01-28 00:15:00,2020-01-27,2020-01-28,10,0,0,0,0,0,0,0,21,0
"14",2020-01-28 08:00:00,2020-01-28 16:30:00,8.5,2020-01-28 12:15:00,2020-01-28,2020-01-28,6,0,0,0,0,0,0,0,4,0
"15",2020-01-28 16:30:00,2020-01-29 08:00:00,15.5,2020-01-29 00:15:00,2020-01-28,2020-01-29,27,0,0,0,0,0,0,0,7,0
"16",2020-01-29 08:00:00,2020-01-29 16:00:00,8,2020-01-29 12:00:00,2020-01-29,2020-01-29,4,0,0,0,0,0,0,0,1,0
"17",2020-01-29 16:00:00,2020-01-30 08:00:00,16,2020-01-30 00:00:00,2020-01-29,2020-01-30,32,0,0,0,0,0,0,0,16,0
"18",2020-01-30 08:00:00,2020-01-30 16:30:00,8.5,2020-01-30 12:15:00,2020-01-30,2020-01-30,1,0,0,0,0,0,0,0,0,0
"19",2020-01-30 16:30:00,2020-01-31 07:00:00,14.5,2020-01-30 23:45:00,2020-01-30,2020-01-31,36,0,0,0,0,0,0,0,20,0
"20",2020-02-17 09:00:00,2020-02-17 17:00:00,8,2020-02-17 13:00:00,2020-02-17,2020-02-17,38,1,0,0,1,0,0,0,2,0
"21",2020-02-17 17:00:00,2020-02-18 08:30:00,15.5,2020-02-18 00:45:00,2020-02-17,2020-02-18,714,4,0,0,8,5,0,0,74,0
