"","start_datetime","end_datetime","In","midpoint","StartDate","EndDate","chum0_mixed_num","steelheadsmolt_wild_num","steelheadsmolt_hatchery_num","coho1_mixed_num","coho1_hatchery_num","coho0_wild_num","chinook1_hatchery_num","chinook0_wild_num","chinook0_hatchery_num"
"1",2021-01-29 12:00:00,2021-01-30 08:30:00,20.5,2021-01-29 22:15:00,2021-01-29,2021-01-30,0,0,0,1,0,0,0,22,0
"2",2021-01-30 08:30:00,2021-01-30 16:30:00,8,2021-01-30 12:30:00,2021-01-30,2021-01-30,0,0,0,0,0,0,0,5,0
"3",2021-01-30 16:30:00,2021-01-31 08:30:00,16,2021-01-31 00:30:00,2021-01-30,2021-01-31,0,0,0,1,0,0,0,11,0
"4",2021-01-31 08:30:00,2021-01-31 16:30:00,8,2021-01-31 12:30:00,2021-01-31,2021-01-31,0,0,0,0,0,0,0,2,0
"5",2021-01-31 16:30:00,2021-02-01 08:30:00,16,2021-02-01 00:30:00,2021-01-31,2021-02-01,1,0,0,0,0,0,0,14,0
"6",2021-02-01 08:30:00,2021-02-01 16:30:00,8,2021-02-01 12:30:00,2021-02-01,2021-02-01,0,0,0,0,0,0,0,4,0
"7",2021-02-01 16:30:00,2021-02-02 08:30:00,16,2021-02-02 00:30:00,2021-02-01,2021-02-02,0,0,0,0,0,0,0,160,0
"8",2021-02-02 08:30:00,2021-02-02 15:30:00,7,2021-02-02 12:00:00,2021-02-02,2021-02-02,0,0,0,0,0,0,0,12,0
"9",2021-02-02 15:30:00,2021-02-03 08:30:00,17,2021-02-03 00:00:00,2021-02-02,2021-02-03,4,0,0,0,0,0,0,92,0
"10",2021-02-03 08:30:00,2021-02-03 16:30:00,8,2021-02-03 12:30:00,2021-02-03,2021-02-03,1,0,0,0,0,0,0,3,0
"11",2021-02-03 16:30:00,2021-02-04 09:00:00,16.5,2021-02-04 00:45:00,2021-02-03,2021-02-04,2,0,0,0,0,0,0,91,0
"12",2021-02-04 09:00:00,2021-02-04 16:00:00,7,2021-02-04 12:30:00,2021-02-04,2021-02-04,0,0,0,0,0,0,0,2,0
"13",2021-02-04 16:00:00,2021-02-05 08:30:00,16.5,2021-02-05 00:15:00,2021-02-04,2021-02-05,2,0,0,1,0,0,0,57,0
"14",2021-02-05 08:30:00,2021-02-05 16:00:00,7.5,2021-02-05 12:15:00,2021-02-05,2021-02-05,0,0,0,0,0,0,0,9,0
"15",2021-02-06 08:30:00,2021-02-06 16:30:00,8,2021-02-06 12:30:00,2021-02-06,2021-02-06,0,0,0,0,0,0,0,78,0
"16",2021-02-06 16:30:00,2021-02-07 08:30:00,16,2021-02-07 00:30:00,2021-02-06,2021-02-07,1,0,0,1,0,1,0,145,0
"17",2021-02-07 08:30:00,2021-02-07 16:00:00,7.5,2021-02-07 12:15:00,2021-02-07,2021-02-07,0,0,0,0,0,0,0,42,0
"18",2021-02-07 16:00:00,2021-02-08 08:30:00,16.5,2021-02-08 00:15:00,2021-02-07,2021-02-08,0,0,0,2,0,0,0,129,0
"19",2021-02-08 08:30:00,2021-02-08 16:30:00,8,2021-02-08 12:30:00,2021-02-08,2021-02-08,0,0,0,0,0,0,0,29,0
"20",2021-02-08 16:30:00,2021-02-09 08:40:00,16.1666666666667,2021-02-09 00:35:00,2021-02-08,2021-02-09,3,0,0,2,0,0,0,63,0
