"","start_datetime","end_datetime","In","midpoint","StartDate","EndDate","pink0_wild_num","chum0_mixed_num","steelheadsmolt_wild_num","steelheadsmolt_hatchery_num","coho1_mixed_num","coho1_hatchery_num","coho0_wild_num","chinook1_wild_num","chinook1_hatchery_num","chinook0_wild_num","chinook0_hatchery_num"
"1",2022-01-19 12:30:00,2022-01-20 09:00:00,20.5,2022-01-19 22:45:00,2022-01-19,2022-01-20,26,0,0,0,0,0,0,0,0,5,0
"2",2022-01-20 09:00:00,2022-01-20 14:50:00,5.83333333333333,2022-01-20 11:55:00,2022-01-20,2022-01-20,8,0,0,0,0,0,0,0,0,1,0
"3",2022-01-22 14:10:00,2022-01-23 08:00:00,17.8333333333333,2022-01-22 23:05:00,2022-01-22,2022-01-23,17,0,0,0,0,0,0,0,0,8,0
"4",2022-01-23 08:00:00,2022-01-23 16:00:00,8,2022-01-23 12:00:00,2022-01-23,2022-01-23,5,0,0,0,0,0,0,0,0,0,0
"5",2022-01-23 16:00:00,2022-01-24 08:30:00,16.5,2022-01-24 00:15:00,2022-01-23,2022-01-24,14,0,0,0,0,0,0,0,0,2,0
"6",2022-01-24 08:30:00,2022-01-24 16:30:00,8,2022-01-24 12:30:00,2022-01-24,2022-01-24,2,0,0,0,0,0,0,0,0,2,0
"7",2022-01-24 16:30:00,2022-01-25 08:40:00,16.1666666666667,2022-01-25 00:35:00,2022-01-24,2022-01-25,48,0,0,0,0,0,1,0,0,14,0
"8",2022-01-25 08:40:00,2022-01-25 16:10:00,7.5,2022-01-25 12:25:00,2022-01-25,2022-01-25,2,0,0,0,0,0,0,0,0,1,0
"9",2022-01-25 16:10:00,2022-01-26 08:20:00,16.1666666666667,2022-01-26 00:15:00,2022-01-25,2022-01-26,27,0,0,0,1,0,2,0,0,6,0
"10",2022-01-26 08:20:00,2022-01-26 16:45:00,8.41666666666667,2022-01-26 12:32:30,2022-01-26,2022-01-26,1,0,0,0,0,0,0,0,0,0,0
"11",2022-01-26 16:45:00,2022-01-27 08:30:00,15.75,2022-01-27 00:37:30,2022-01-26,2022-01-27,7,0,0,0,1,0,3,0,0,2,0
