date,age,total,untagged_unclipped,prop_unmarked
2004-05-26,1,1646664,18071,0.01097430927013647
2004-06-02,1,103200,546,0.005290697674418605
2005-05-25,1,902950,0,0
2005-06-01,1,100400,0,0
2006-05-30,1,1404632,10698,0.007616229731346004
2006-06-02,1,254585,2266,0.008900760060490603
2007-05-29,1,82927,2012,0.0242623029893762
2007-06-05,1,1797777,8465,0.004708592889996924
2008-05-22,1,96500,0,0
2008-06-13,1,1695500,6408,0.0037794161014450016
2009-06-01,1,314872,205168,0.6515917579206789
2010-05-18,1,200000,1619,0.008095
2010-05-27,1,382898,1344,0.0035100731787577892
2011-05-25,1,550000,2345,0.0042636363636363635
2011-05-26,1,216800,1604,0.007398523985239852
2011-05-31,1,67722,0,0
2011-06-23,1,900000,6030,0.0067
2012-05-16,1,10185,115,0.011291114383897889
2012-05-27,1,743775,2454,0.003299384894625391
2012-05-28,1,92000,0,0
2012-06-19,1,171600,686,0.003997668997668998
2013-06-01,1,705000,4230,0.006
2014-06-06,1,649142,3700,0.005699831469847891
2015-06-01,1,705808,2388,0.0033833563802053816
2016-05-28,1,1554302,13948,0.008973803031843232
2017-05-31,1,1453000,6393,0.00439986235375086
2018-05-31,1,1661000,9468,0.005700180614087899
2019-05-30,1,1638000,22605,0.013800366300366301
2021-05-09,1,1,0,0
2021-06-01,1,1651444,7333,0.004440356439576516
