date,age,total,untagged_unclipped,prop_unmarked
2004-04-15,2,848000,11158,0.013158018867924528
2004-04-26,2,177000,1132,0.0063954802259887
2005-03-14,2,111820,0,0
2005-04-20,2,915000,495,5.40983606557377e-4
2006-04-18,2,879000,10366,0.011792946530147895
2006-05-30,2,102553,1,9.751055551763478e-6
2007-04-30,2,672300,3160,0.004700282611929198
2007-05-08,2,80200,0,0
2008-04-25,2,799100,5476,0.006852709297960205
2009-01-09,2,505100,2496,0.004941595723619086
2009-04-14,2,408600,311944,0.7634459128732256
2010-04-19,2,498500,5167,0.010365095285857573
2011-02-20,2,99200,0,0
2011-04-01,2,559000,5038,0.009012522361359571
2012-04-06,2,895000,8711,0.00973296089385475
2012-05-16,2,92700,0,0
2013-04-01,2,46423,1304,0.028089524589104537
2013-04-08,2,457476,1685,0.003683253329136392
2013-04-13,2,315101,1103,0.003500464930292192
2013-04-17,2,100500,0,0
2014-04-09,2,804765,7221,0.008972805725895138
2014-04-30,2,94250,0,0
2015-02-03,2,108766,0,0
2015-04-03,2,864000,4167,0.004822916666666666
2016-04-01,2,362281,914,0.002522903492040709
2017-04-10,2,645481,5143,0.00796770160546941
2017-05-18,2,99500,0,0
2018-04-01,2,829900,7992,0.009630075912760574
2018-05-15,2,100000,0,0
2019-04-01,2,828500,6994,0.00844176222088111
2019-05-14,2,99500,849,0.008532663316582914
2020-02-02,2,101000,430,0.004257425742574258
2020-04-01,2,836500,6778,0.008102809324566647
2021-04-01,2,242691,152644,0.6289644032947246
2021-04-06,2,556356,7883,0.014168985325942383
2021-05-14,2,59002,0,0
