,river,species,year,releases,total_released,hatchery
1,Dungeness,chinook,2006,3,112300,
2,Dungeness,chinook,2007,2,102540,GRAY WOLF R ACCL PD
3,Dungeness,chinook,2008,2,98900,
4,Dungeness,chinook,2009,2,98725,GRAY WOLF R ACCL PD
5,Dungeness,chinook,2010,2,100600,"DUNGENESS HATCHERY, GRAY WOLF R ACCL PD"
6,Dungeness,chinook,2011,1,76918,"DUNGENESS HATCHERY, GRAY WOLF R ACCL PD"
7,Dungeness,chinook,2012,2,169099,"GRAY WOLF R ACCL PD, UPR DUNGENESS ACC PD, DUNGENESS HATCHERY"
8,Dungeness,chinook,2013,1,153650,"GRAY WOLF R ACCL PD, DUNGENESS HATCHERY, UPR DUNGENESS ACC PD"
9,Dungeness,chinook,2014,2,170404,"DUNGENESS HATCHERY, UPR DUNGENESS ACC PD, GRAY WOLF R ACCL PD"
10,Dungeness,chinook,2015,2,128217,"GRAY WOLF R ACCL PD, UPR DUNGENESS ACC PD, HURD CR HATCHERY"
11,Dungeness,chinook,2016,3,208242,"GRAY WOLF R ACCL PD, HURD CR HATCHERY, UPR DUNGENESS ACC PD, DUNGENESS HATCHERY"
12,Dungeness,chinook,2017,1,204224,"HURD CR HATCHERY, GRAY WOLF R ACCL PD, DUNGENESS HATCHERY, UPR DUNGENESS ACC PD"
13,Dungeness,chinook,2018,3,207345,"GRAY WOLF R ACCL PD, DUNGENESS HATCHERY, UPR DUNGENESS ACC PD, HURD CR HATCHERY"
14,Dungeness,chinook,2019,1,178700,"DUNGENESS HATCHERY, GRAY WOLF R ACCL PD, UPR DUNGENESS ACC PD"
15,Dungeness,chinook,2020,1,206100,"DUNGENESS HATCHERY, UPR DUNGENESS ACC PD, GRAY WOLF R ACCL PD"
16,Dungeness,coho,2005,1,512450,DUNGENESS HATCHERY
17,Dungeness,coho,2006,2,500000,DUNGENESS HATCHERY
18,Dungeness,coho,2007,2,511100,DUNGENESS HATCHERY
19,Dungeness,coho,2008,1,536300,DUNGENESS HATCHERY
