"","StartDate","EndDate","StartTime","EndTime","chinook0_wild_num","chinook0_hatchery_num","chinook1_wild_num","chum0_wild_num","coho0_wild_num","coho1_wild_num","coho1_hatchery_num","steelheadsmolt_wild_num","sockeye0_wild_num","sockeye1_wild_num","pink0_wild_num","start_datetime","end_datetime","In","midpoint"
"1",2015-01-28,2015-01-28,1899-12-30 12:30:00,1899-12-30 17:30:00,9,0,0,0,0,0,0,0,0,0,0,2015-01-28 12:30:00,2015-01-28 17:30:00,5,2015-01-28 15:00:00
"2",2015-01-29,2015-01-30,1899-12-30 17:30:00,1899-12-30 07:00:00,79,0,0,0,0,0,0,0,0,0,0,2015-01-29 17:30:00,2015-01-30 07:00:00,13.5,2015-01-30 00:15:00
"3",2015-01-30,2015-01-31,1899-12-30 17:30:00,1899-12-30 07:30:00,98,0,0,0,0,0,0,0,0,0,0,2015-01-30 17:30:00,2015-01-31 07:30:00,14,2015-01-31 00:30:00
"4",2015-01-31,2015-02-01,1899-12-30 17:30:00,1899-12-30 08:00:00,41,0,0,0,0,0,0,0,0,0,0,2015-01-31 17:30:00,2015-02-01 08:00:00,14.5,2015-02-01 00:45:00
"5",2015-02-01,2015-02-02,1899-12-30 20:30:00,1899-12-30 08:00:00,22,0,0,0,0,0,0,0,0,0,0,2015-02-01 20:30:00,2015-02-02 08:00:00,11.5,2015-02-02 02:15:00
"6",2015-02-02,2015-02-02,1899-12-30 08:00:00,1899-12-30 17:30:00,1,0,0,0,0,0,0,0,0,0,0,2015-02-02 08:00:00,2015-02-02 17:30:00,9.5,2015-02-02 12:45:00
"7",2015-02-02,2015-02-03,1899-12-30 17:30:00,1899-12-30 08:00:00,15,0,0,0,0,0,0,0,0,0,0,2015-02-02 17:30:00,2015-02-03 08:00:00,14.5,2015-02-03 00:45:00
"8",2015-02-03,2015-02-04,1899-12-30 17:30:00,1899-12-30 07:30:00,41,0,0,0,0,0,0,0,0,0,0,2015-02-03 17:30:00,2015-02-04 07:30:00,14,2015-02-04 00:30:00
"9",2015-02-04,2015-02-04,1899-12-30 07:45:00,1899-12-30 17:30:00,3,0,0,0,0,0,0,0,0,0,0,2015-02-04 07:45:00,2015-02-04 17:30:00,9.75,2015-02-04 12:37:30
"10",2015-02-04,2015-02-05,1899-12-30 17:45:00,1899-12-30 08:00:00,34,0,0,1,0,0,0,0,0,0,0,2015-02-04 17:45:00,2015-02-05 08:00:00,14.25,2015-02-05 00:52:30
"11",2015-02-05,2015-02-06,1899-12-30 17:30:00,1899-12-30 07:15:00,147,0,0,0,0,0,0,0,0,0,0,2015-02-05 17:30:00,2015-02-06 07:15:00,13.75,2015-02-06 00:22:30
"12",2015-02-11,2015-02-12,1899-12-30 18:00:00,1899-12-30 07:00:00,142,0,0,0,0,0,0,1,0,0,0,2015-02-11 18:00:00,2015-02-12 07:00:00,13,2015-02-12 00:30:00
"13",2015-02-12,2015-02-13,1899-12-30 18:00:00,1899-12-30 08:00:00,171,0,0,2,0,0,0,0,0,0,0,2015-02-12 18:00:00,2015-02-13 08:00:00,14,2015-02-13 01:00:00
"14",2015-02-13,2015-02-13,1899-12-30 08:10:00,1899-12-30 17:45:00,58,0,0,0,0,0,0,0,0,0,0,2015-02-13 08:10:00,2015-02-13 17:45:00,9.58333333333333,2015-02-13 12:57:30
"15",2015-02-13,2015-02-14,1899-12-30 18:00:00,1899-12-30 08:00:00,225,0,0,6,0,0,0,0,1,0,1,2015-02-13 18:00:00,2015-02-14 08:00:00,14,2015-02-14 01:00:00
"16",2015-02-14,2015-02-15,1899-12-30 18:00:00,1899-12-30 08:00:00,165,0,0,3,0,0,0,0,0,0,0,2015-02-14 18:00:00,2015-02-15 08:00:00,14,2015-02-15 01:00:00
