,date_range,Down_time,Up_date,Up_time,midpoint,In,Up,Down,chinook0_wild_num,chinook0_hatchery_num,chinook1_wild_num,chinook1_hatchery_num,chum0_wild_num,coho0_wild_num,coho1_wild_num,coho1_hatchery_num,pink0_wild_num,sockeye1_wild_num,sockeye0_wild_num,steelheadsmolt_wild_num,daytime_category,midpoint_doy,doy,year,Date,flow,temp,atu_solstice,atu_april,flow_diff,temp_diff,photoperiod,lunar_phase,photo_diff,trap,steelheadsmolt_hatchery_num,trap_efficiency,chinook0_wild_perhour,chinook0_hatchery_perhour,chinook1_wild_perhour,chinook1_hatchery_perhour,chum0_wild_perhour,coho0_wild_perhour,coho1_wild_perhour,coho1_hatchery_perhour,pink0_wild_perhour,sockeye1_wild_perhour,sockeye0_wild_perhour,steelheadsmolt_wild_perhour,steelheadsmolt_hatchery_perhour,chinook0_wild_num_estimate,chinook0_hatchery_num_estimate,chinook0_wild_perhour_estimate,chinook0_hatchery_perhour_estimate,chinook1_wild_num_estimate,chinook1_hatchery_num_estimate,chinook1_wild_perhour_estimate,chinook1_hatchery_perhour_estimate,chum0_wild_num_estimate,chum0_wild_perhour_estimate,coho0_wild_num_estimate,coho0_wild_perhour_estimate,coho1_wild_num_estimate,coho1_hatchery_num_estimate,coho1_wild_perhour_estimate,coho1_hatchery_perhour_estimate,pink0_wild_num_estimate,pink0_wild_perhour_estimate,sockeye1_wild_num_estimate,sockeye1_wild_perhour_estimate,sockeye0_wild_num_estimate,sockeye0_wild_perhoour_estimate,steelheadsmolt_wild_num_estimate,steelheadsmolt_hatchery_num_estimate,steelheadsmolt_wild_perhour_estimate,steelheadsmolt_hatchery_perhour_estimate
0,2010-01-20 12:00:00,,,,,,,,,,,,,,,,,,,,day,,20,2010,2010-01-20,4980.0,4.9,100.8,,70.0,0.0,9.016666666666667,0.1862826408853042,0.0333333333333349,scoop,,0.018868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2010-01-21 12:00:00,,,,,,,,,,,,,,,,,,,,day,,21,2010,2010-01-21,5060.0,4.9,105.70000000000002,,80.0,0.0,9.066666666666666,0.2664668095173156,0.0499999999999989,scoop,,0.018868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2010-01-22 12:00:00,08:45:00,2010-01-22,17:20:00,2010-01-22 13:02:30,8.583333333333334,2010-01-22 17:20:00,2010-01-22 08:45:00,3.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,day,22.0,22,2010,2010-01-22,5500.0,4.8,110.5,,440.0,-0.1000000000000005,9.1,0.3568325080095304,0.0333333333333332,scoop,,0.018868,0.3495145631067961,0.0,0.0,0.0,1.2815533980582523,0.0,0.0,0.0,6.29126213592233,0.0,0.0,0.0,,158.99936400254398,0.0,18.524197747869202,0.0,0.0,0.0,18.524197747869202,0.0,582.997668009328,67.92205840885374,0.0,0.0,0.0,0.0,0.0,0.0,2861.988552045792,333.43555946164565,0.0,0.0,0.0,0.0,0.0,,0.0,
3,2010-01-23 12:00:00,,,,,,,,,,,,,,,,,,,,day,,23,2010,2010-01-23,5550.0,4.8,115.3,,50.0,0.0,9.15,0.4550350653542559,0.0500000000000007,scoop,,0.018868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2010-01-24 12:00:00,,,,,,,,,,,,,,,,,,,,day,,24,2010,2010-01-24,5350.0,4.8,120.1,,-200.0,0.0,9.183333333333334,0.5581287567372208,0.0333333333333332,scoop,,0.018868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2010-01-25 12:00:00,07:50:00,2010-01-25,17:00:00,2010-01-25 12:25:00,9.166666666666666,2010-01-25 17:00:00,2010-01-25 07:50:00,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,day,25.0,25,2010,2010-01-25,4060.0,4.8,124.9,,-1290.0,0.0,9.233333333333333,0.6622595311188731,0.0499999999999989,scoop,,0.018868,0.32727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.800000000000001,0.0,0.0,0.0,,158.99936400254398,0.0,17.34538516391389,0.0,0.0,0.0,17.34538516391389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2331.990672037312,254.39898240407044,0.0,0.0,0.0,0.0,0.0,,0.0,
6,2010-01-26 12:00:00,,,,,,,,,,,,,,,,,,,,day,,26,2010,2010-01-26,3530.0,4.8,129.70000000000002,,-530.0,0.0,9.266666666666667,0.76243603183647,0.0333333333333349,scoop,,0.018868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2010-01-27 12:00:00,,,,,,,,,,,,,,,,,,,,day,,27,2010,2010-01-27,3540.0,4.6,134.3,,10.0,-0.2000000000000001,9.316666666666666,0.8525874549857289,0.0499999999999989,scoop,,0.018868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2010-01-28 12:00:00,08:00:00,2010-01-28,17:30:00,2010-01-28 12:45:00,9.5,2010-01-28 17:30:00,2010-01-28 08:00:00,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,day,28.0,28,2010,2010-01-28,4450.0,4.6,138.9,,910.0,0.0,9.366666666666667,0.9260384474610884,0.0500000000000007,scoop,,0.018868,0.0,0.0,0.0,0.0,0.21052631578947367,0.0,0.0,0.0,1.6842105263157894,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.999576001696,11.157850105441684,0.0,0.0,0.0,0.0,0.0,0.0,847.996608013568,89.26280084353347,0.0,0.0,0.0,0.0,0.0,,0.0,
9,2010-01-29 12:00:00,,,,,,,,,,,,,,,,,,,,day,,29,2010,2010-01-29,4440.0,4.7,143.6,,-10.0,0.1000000000000005,9.416666666666666,0.976426730556202,0.0499999999999989,scoop,,0.018868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
