,Unnamed: 0,date_range,Down_time,Up_date,Up_time,midpoint,In,Up,Down,chinook0_wild_num,chinook0_hatchery_num,chinook1_wild_num,chinook1_hatchery_num,chum0_wild_num,coho0_wild_num,coho1_wild_num,coho1_hatchery_num,pink0_wild_num,sockeye1_wild_num,sockeye0_wild_num,steelheadsmolt_wild_num,daytime_category,midpoint_doy,doy,year,Date,flow,temp,atu_solstice,atu_april,flow_diff,temp_diff,photoperiod,lunar_phase,photo_diff,trap,Unnamed: 0.1,steelheadsmolt_hatchery_num
0,0,2010-01-20 12:00:00,,,,,,,,,,,,,,,,,,,,day,,20,2010,2010-01-20,4980.0,4.9,100.8,,70.0,0.0,9.016666666666667,0.18628264088530427,0.033333333333334984,scoop,,
1,1,2010-01-21 12:00:00,,,,,,,,,,,,,,,,,,,,day,,21,2010,2010-01-21,5060.0,4.9,105.70000000000002,,80.0,0.0,9.066666666666666,0.2664668095173157,0.04999999999999893,scoop,,
2,2,2010-01-22 12:00:00,08:45:00,2010-01-22,17:20:00,2010-01-22 13:02:30,8.583333333333334,2010-01-22 17:20:00,2010-01-22 08:45:00,3.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,day,22.0,22,2010,2010-01-22,5500.0,4.8,110.5,,440.0,-0.10000000000000052,9.1,0.3568325080095304,0.033333333333333215,scoop,,
3,3,2010-01-23 12:00:00,,,,,,,,,,,,,,,,,,,,day,,23,2010,2010-01-23,5550.0,4.8,115.3,,50.0,0.0,9.15,0.4550350653542559,0.05000000000000071,scoop,,
4,4,2010-01-24 12:00:00,,,,,,,,,,,,,,,,,,,,day,,24,2010,2010-01-24,5350.0,4.8,120.1,,-200.0,0.0,9.183333333333334,0.5581287567372208,0.033333333333333215,scoop,,
5,5,2010-01-25 12:00:00,07:50:00,2010-01-25,17:00:00,2010-01-25 12:25:00,9.166666666666666,2010-01-25 17:00:00,2010-01-25 07:50:00,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,day,25.0,25,2010,2010-01-25,4060.0,4.8,124.9,,-1290.0,0.0,9.233333333333333,0.6622595311188731,0.04999999999999893,scoop,,
6,6,2010-01-26 12:00:00,,,,,,,,,,,,,,,,,,,,day,,26,2010,2010-01-26,3530.0,4.8,129.70000000000002,,-530.0,0.0,9.266666666666667,0.7624360318364699,0.033333333333334984,scoop,,
7,7,2010-01-27 12:00:00,,,,,,,,,,,,,,,,,,,,day,,27,2010,2010-01-27,3540.0,4.6,134.3,,10.0,-0.20000000000000015,9.316666666666666,0.8525874549857289,0.04999999999999893,scoop,,
8,8,2010-01-28 12:00:00,08:00:00,2010-01-28,17:30:00,2010-01-28 12:45:00,9.5,2010-01-28 17:30:00,2010-01-28 08:00:00,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,day,28.0,28,2010,2010-01-28,4450.0,4.6,138.9,,910.0,0.0,9.366666666666667,0.9260384474610884,0.05000000000000071,scoop,,
9,9,2010-01-29 12:00:00,,,,,,,,,,,,,,,,,,,,day,,29,2010,2010-01-29,4440.0,4.7,143.6,,-10.0,0.10000000000000052,9.416666666666666,0.976426730556202,0.04999999999999893,scoop,,
10,10,2010-01-30 12:00:00,,,,,,,,,,,,,,,,,,,,day,,30,2010,2010-01-30,3740.0,4.8,148.4,,-700.0,0.09999999999999963,9.466666666666667,0.9988730451594352,0.05000000000000071,scoop,,
11,11,2010-01-31 12:00:00,07:40:00,2010-01-31,17:15:00,2010-01-31 12:27:30,9.583333333333334,2010-01-31 17:15:00,2010-01-31 07:40:00,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,day,31.0,31,2010,2010-01-31,3700.0,4.8,153.20000000000005,,-40.0,0.0,9.516666666666666,0.9910347287880398,0.04999999999999893,scoop,,
12,12,2010-02-01 12:00:00,,,,,,,,,,,,,,,,,,,,day,,32,2010,2010-02-01,5770.0,4.8,158.00000000000003,,2070.0,0.0,9.55,0.9536490443457121,0.033333333333334984,scoop,,
